date,average,volume,price_in_plex,type_name
2023-12-01,50002.0,5,0.0104410106494048,Diplomatic Relations
2023-12-01,1036333.33,3,0.2163986907496345,Starbase Defense Management
2023-12-01,2966.0,3,0.0006193359782835,Industry
2023-12-01,10652.46,29,0.0022243599916475,Reprocessing
2023-12-01,61784.17,36,0.0129012674879933,Mass Production
2023-12-01,25857.14,7,0.0053992775109626,Advanced Industry
2023-12-01,247366.67,6,0.0516530945917728,Reprocessing Efficiency
2023-12-01,47015.0,14,0.0098172896220505,Repair Systems
2023-12-01,99983.33,6,0.0208777051576529,Hull Upgrades
2023-12-01,157500.0,10,0.0328878680309041,Advanced Small Ship Construction
2023-12-01,2369000.0,6,0.4946752975569012,Advanced Industrial Ship Construction
2023-12-01,1315833.33,6,0.2747616057632073,Advanced Medium Ship Construction
2023-12-01,30000000.0,2,6.264355815410315,Advanced Large Ship Construction
2023-12-01,19499.5,2,0.0040717268740864,Science
2023-12-01,766608.33,12,0.160076911672583,Research
2023-12-01,25126.5,40,0.0052467112131969,Biology
2023-12-01,549333.33,18,0.1147073146794737,Laboratory Operation
2023-12-01,15000000.0,7,3.1321779077051577,Sleeper Encryption Methods
2023-12-01,766600.0,9,0.1600751722697849,Metallurgy
2023-12-01,551622.22,18,0.1151852620588849,Astrogeology
2023-12-01,87000.0,4,0.0181666318646899,Cybernetics
2023-12-01,190000.0,3,0.0396742534975986,Astrometrics
2023-12-01,26950.0,2,0.0056274796408436,Power Grid Management
2023-12-01,9006833.33,6,1.8807336249738984,Inherent Implants 'Noble' Remote Armor Repair Systems RA-702
2023-12-01,46228.1,84,0.0096529755690123,Shield Operation
2023-12-01,54455.0,2,0.0113708498642722,Capacitor Systems Operation
2023-12-01,199000.0,1,0.0415535602422217,Capacitor Management
2023-12-01,118336.67,3,0.024710100229693,Shield Management
2023-12-01,206020.0,10,0.0430194195030277,Tactical Shield Manipulation
2023-12-01,171923.08,13,0.0358995782000417,Energy Pulse Weapons
2023-12-01,39426.75,32,0.0082327730215076,Shield Emission Systems
2023-12-01,101187.1,31,0.0211290666109835,Capacitor Emission Systems
2023-12-01,69640.0,3,0.0145416579661724,Energy Grid Upgrades
2023-12-01,95000.0,3,0.0198371267487993,Shield Upgrades
2023-12-01,27323.33,3,0.0057054353727291,CPU Management
2023-12-01,80110.0,1,0.0167279181457506,Electronic Warfare
2023-12-01,95000.0,1,0.0198371267487993,Long Range Targeting
2023-12-01,717188.89,9,0.1497575464606389,Advanced Target Management
2023-12-01,145933.33,3,0.0304726101482564,Signature Analysis
2023-12-01,64452.5,4,0.0134584464397577,Electronics Upgrades
2023-12-01,132200.0,13,0.0276049279599081,Sensor Linking
2023-12-01,16137.34,38,0.0033696679891417,Weapon Disruption
2023-12-01,2500.5,2,0.0005221340572144,Propulsion Jamming
2023-12-01,13660.6,5,0.0028524953017331,Drones
2023-12-01,35671.5,6,0.0074486322823136,Drone Avionics
2023-12-01,43830.0,7,0.0091522238463144,Mining Drone Operation
2023-12-01,214571.43,7,0.0448050595113802,Repair Drone Operation
2023-12-01,599000.0,8,0.1250783044476926,Salvage Drone Operation
2023-12-01,593973.33,15,0.1240286761328043,Heavy Drone Operation
2023-12-01,875857.14,21,0.1828893589475882,Drone Interfacing
2023-12-01,28500.0,6,0.0059511380246398,Trade
2023-12-01,151769.23,13,0.0316912152850281,Retail
2023-12-01,501.0,157,0.0001046147421173,Broker Relations
2023-12-01,7877200.0,10,1.644852787638338,Visibility
2023-12-01,17900.0,1,0.0037377323031948,Navigation
2023-12-01,1459.0,4,0.0003046565044894,Afterburner
2023-12-01,38945.35,20,0.0081322509918563,Fuel Conservation
2023-12-01,220.1,114,4.5959490499060346e-05,Acceleration Control
2023-12-01,34917.5,4,0.0072911881394863,Evasive Maneuvering
2023-12-01,279356.67,6,0.0583329860096053,High Speed Maneuvering
2023-12-01,31601.67,3,0.0065988035080392,Warp Drive Operation
2023-12-01,10353200.0,25,2.1618709542702024,Jump Drive Operation
2023-12-01,42889.8,50,0.0089558989350595,Large Secure Container
2023-12-01,74654.81,27,0.015588809772395,Medium Secure Container
2023-12-01,83109.89,94,0.017354330757987,Small Secure Container
2023-12-01,2366000.0,1,0.4940488619753602,'Basic' Co-Processor
2023-12-01,597900000.0,1,124.84861140112758,Inherent Implants 'Noble' Remote Armor Repair Systems RA-706
2023-12-01,103850000.0,2,21.68511171434537,Inherent Implants 'Noble' Mechanic MC-804
2023-12-01,6967000.0,1,1.454792232198789,Inherent Implants 'Noble' Repair Proficiency RP-902
2023-12-01,119300000.0,2,24.91125495928169,Inherent Implants 'Noble' Repair Proficiency RP-904
2023-12-01,640150000.0,2,133.67091250783045,Inherent Implants 'Noble' Repair Proficiency RP-906
2023-12-01,5187600.0,5,1.0832324076007518,Inherent Implants 'Noble' Hull Upgrades HG-1002
2023-12-01,89829333.33,15,18.75743022134057,Inherent Implants 'Noble' Hull Upgrades HG-1004
2023-12-01,611321052.63,19,127.65108637084988,Inherent Implants 'Noble' Hull Upgrades HG-1006
2023-12-01,795900.0,491,0.1661933597828356,Small Cap Battery II
2023-12-01,954900.0,269,0.1993944456045103,Medium Cap Battery II
2023-12-01,1682000.0,273,0.351221549384005,Large Cap Battery II
2023-12-01,2235000.0,152,0.4666945082480684,Focused Medium Pulse Laser II
2023-12-01,2187000.0,598,0.456671538943412,Heavy Pulse Laser II
2023-12-01,78700.0,127,0.0164334934224263,Medium Armor Repairer I
2023-12-01,1355000.0,527,0.2829400709960326,Medium Armor Repairer II
2023-12-01,131250000.0,2,27.40655669242013,Echelon
2023-12-01,897140000.0,10,187.33347254124035,CONCORD Capital Armor Repairer
2023-12-01,447900000.0,2,93.526832324076,CONCORD Capital Remote Armor Repairer
2023-12-01,100241.82,11,0.0209316809354771,Large Armor Repairer I
2023-12-01,2138000.0,206,0.4464397577782418,Large Armor Repairer II
2023-12-01,416419230.77,26,86.95327433075798,CONCORD Capital Shield Booster
2023-12-01,354133333.33,6,73.9472402025475,CONCORD Capital Remote Shield Booster
2023-12-01,4603.45,4,0.0009612549592816,Survey
2023-12-01,928.4,454,0.0001938609313008,Cap Booster 75
2023-12-01,1501.0,3725,0.000313426602631,Cap Booster 100
2023-12-01,1249500000.0,8,260.9104197118396,CONCORD Dual Giga Beam Laser
2023-12-01,449900000.0,1,93.94445604510337,CONCORD XL Torpedo Launcher
2023-12-01,26980.0,151,0.005633743996659,Small Capacitor Booster I
2023-12-01,707800.0,781,0.1477970348715807,Small Capacitor Booster II
2023-12-01,307500000.0,6,64.20964710795573,CONCORD Hexa 2500mm Repeating Cannon
2023-12-01,202000000.0,1,42.17999582376279,CONCORD Capital Remote Capacitor Transmitter
2023-12-01,102700.0,3,0.0214449780747546,Heavy Capacitor Booster I
2023-12-01,1956000.0,183,0.4084359991647525,Heavy Capacitor Booster II
2023-12-01,22145434.78,46,4.624229438296095,Purloined Sansha Data Analyzer
2023-12-01,44076.5,12,0.009203695969931,Small Remote Shield Booster I
2023-12-01,460000.0,161,0.0960534558362915,Small Remote Shield Booster II
2023-12-01,42606.0,10,0.0088966381290457,Medium Remote Shield Booster I
2023-12-01,929519.05,63,0.1940946022134057,Medium Remote Shield Booster II
2023-12-01,123400.0,1,0.0257673835873877,Large Remote Shield Booster I
2023-12-01,896711.11,81,0.1872439152223846,Large Remote Shield Booster II
2023-12-01,33783750.0,8,7.054447692628941,Capital Remote Shield Booster I
2023-12-01,79.3,216520,1.6558780538734598e-05,Soil
2023-12-01,536.6,4807099,0.0001120484443516,Water
2023-12-01,230.0,267504,4.802672791814576e-05,Holoreels
2023-12-01,5.0,447,1.0440593025683858e-06,Civilian Miner
2023-12-01,87855.33,15,0.018345234913343,Medium Hull Repairer I
2023-12-01,1883222.22,9,0.3932391355188974,Medium Hull Repairer II
2023-12-01,372657.14,7,0.0778152307371058,Large Hull Repairer I
2023-12-01,1398000.0,1,0.2919189809981207,Large Hull Repairer II
2023-12-01,90.04,153851,1.8801419920651496e-05,Wheat
2023-12-01,421.3,6013889,8.79724368344122e-05,Oxygen
2023-12-01,528.54,427148,0.0001103654207558,Hydrogen Batteries
2023-12-01,870.0,230480,0.0001816663186468,Electronic Parts
2023-12-01,11630.0,1547786,0.002428481937774,Mechanical Parts
2023-12-01,12200.0,234105,0.0025475046982668,Synthetic Oil
2023-12-01,13070.0,70586,0.0027291710169137,Fertilizer
2023-12-01,4524.0,87855,0.0009446648569638,Polytextiles
2023-12-01,13780.0,17066,0.0028774274378784,Silicate Glass
2023-12-01,52.11,8150,1.0881186051367715e-05,Quafe
2023-12-01,128.1,510,2.6748799331802044e-05,Nerve Sticks
2023-12-01,160.0,923,3.340989768218835e-05,Crash
2023-12-01,260.0,457,5.429108373355607e-05,Blue Pill
2023-12-01,150.0,971,3.1321779077051577e-05,Drop
2023-12-01,260.0,209,5.429108373355607e-05,X-Instinct
2023-12-01,8010.0,340,0.0016725830027145,Vitoc
2023-12-01,105.1,172317,2.194612653998747e-05,Frozen Food
2023-12-01,200.9,46900,4.195030277719775e-05,Dairy Products
2023-12-01,10000.0,743,0.0020881186051367,Tourists
2023-12-01,94000.0,274,0.0196283148882856,Slaves
2023-12-01,6479.5,16,0.0013529964501983,Slaver Hound
2023-12-01,6522.0,8470,0.0013618709542702,Livestock
2023-12-01,401333.33,3,0.0838031593234495,Megacorp Management
2023-12-01,10270000.0,4,2.1444978074754646,Empire Control
2023-12-01,40980000.0,168,8.557110043850491,Gnosis
2023-12-01,490805.26,38,0.102485959490499,Vigil
2023-12-01,698.79,422798,0.0001459156400083,Hydrochloric Acid
2023-12-01,13750.0,239232,0.002871163082063,Viral Agent
2023-12-01,2657.89,1558108,0.0005549989559406,Long-limb Roes
2023-12-01,788.4,6076787,0.0001646272708289,Biomass
2023-12-01,5003.11,27,0.0010447087074545,Refugees
2023-12-01,5768.0,18557,0.0012044268114428,Marines
2023-12-01,169.9,33959,3.5477135101273755e-05,Data Sheets
2023-12-01,30.08,1374514,6.281060764251409e-06,Reports
2023-12-01,311.0,181,6.49404886197536e-05,Exile
2023-12-01,265.0,210,5.533514303612445e-05,Sooth Sayer
2023-12-01,100.0,516,2.088118605136772e-05,Frentix
2023-12-01,100.0,442,2.088118605136772e-05,Crystal Egg
2023-12-01,31.0,620,6.4731676759239925e-06,Mindflood
2023-12-01,11860.0,248435,0.0024765086656922,Construction Blocks
2023-12-01,33680.0,1361,0.0070327834621006,Medium Shield Extender I
2023-12-01,949800.0,1817,0.1983295051158906,Medium Shield Extender II
2023-12-01,70990.0,1364,0.0148235539778659,Large Shield Extender I
2023-12-01,1200000.0,4529,0.2505742326164126,Large Shield Extender II
2023-12-01,16480.0,1455,0.0034412194612653,Co-Processor I
2023-12-01,998600.0,1154,0.208519523908958,Co-Processor II
2023-12-01,38906875.0,16,8.124216955523075,Mining Connections
2023-12-01,38103846.15,13,7.956535007308415,Distribution Connections
2023-12-01,21928852.46,61,4.579004481102527,Security Connections
2023-12-01,14890000.0,1,3.109208603048653,Micro Proton Smartbomb I
2023-12-01,38730000.0,172,8.087283357694718,Quafe Zero Classic
2023-12-01,16220000.0,1,3.386928377531844,Micro Graviton Smartbomb I
